CST,最高温度C,平均温度C,最低温度C,露点C,MeanDew PointC,Min DewpointC,Max 湿度, Mean 湿度, Min 湿度, Max 海平面气压hPa, Mean 海平面气压hPa, Min 海平面气压hPa, Max 能见度Km, Mean 能见度Km, Min 能见度kM, Max 风速Km/h, Mean 风速Km/h, Max 瞬间风速Km/h,降水量mm, CloudCover, 活动,WindDirDegrees<br />
2015-5-1,26,21,16,15,14,13,88,73,44,1014,1011,1009,10,8,6,29,16,,0.00,4,,121<br />
2015-5-2,23,20,17,21,18,15,100,88,73,1009,1006,1003,10,7,3,32,21,47,0.00,5,中雨-雷暴,154<br />
2015-5-3,24,20,16,16,14,13,88,75,53,1013,1011,1008,10,9,6,29,21,40,0.00,5,,336<br />
2015-5-4,25,20,16,17,10,-1,94,58,23,1016,1015,1012,10,4,3,29,11,29,0.00,,中雨,25<br />
2015-5-5,24,19,14,9,3,0,59,37,21,1016,1013,1010,,,,21,11,,0.00,,,132<br />
2015-5-6,26,21,17,15,13,9,83,62,42,1012,1009,1007,,,,21,14,,0.00,,,121<br />
2015-5-7,28,22,16,16,14,8,94,67,46,1014,1012,1010,10,7,5,21,10,,0.00,5,,146<br />
2015-5-8,26,21,17,16,14,12,94,69,42,1013,1009,1006,10,9,6,32,16,,0.00,5,中雨,130<br />
2015-5-9,22,19,17,17,16,14,94,81,64,1016,1012,1008,10,9,4,18,11,43,0.00,6,中雨,63<br />
2015-5-10,24,20,16,16,14,12,88,71,50,1016,1014,1013,10,10,10,26,16,40,0.00,3,,122<br />
2015-5-11,23,19,15,21,17,11,94,90,77,1013,1009,1005,10,8,5,43,21,61,0.00,5,中雨,211<br />
2015-5-12,26,19,13,12,9,4,94,55,24,1013,1010,1008,,,,35,18,55,0.00,,,239<br />
2015-5-13,29,22,15,17,12,7,77,52,25,1011,1008,1005,,,,29,14,,0.00,,,178<br />
2015-5-14,28,24,22,21,19,16,83,73,65,1009,1008,1005,10,10,10,26,14,,0.00,3,中雨,184<br />
2015-5-15,25,21,18,22,21,17,100,90,74,1011,1007,1004,10,6,1,26,10,,0.00,4,中雨-雷暴,241<br />
2015-5-16,25,21,17,17,10,3,100,58,29,1014,1012,1010,7,5,4,21,16,32,0.00,5,中雨,40<br />
2015-5-17,25,21,17,17,11,3,83,55,24,1012,1009,1005,10,10,10,26,13,,0.00,3,,131<br />
2015-5-18,22,21,20,21,19,17,100,92,83,1007,1004,1002,7,5,1,18,10,,0.00,6,中雨,170<br />
2015-5-19,29,24,20,21,19,18,100,82,55,1008,1007,1005,8,4,0,18,8,,0.00,6,雾,141<br />
2015-5-20,28,22,17,19,12,5,94,58,24,1017,1012,1008,6,4,3,32,13,43,0.00,5,,27<br />
2015-5-21,25,20,15,12,8,6,72,48,31,1018,1016,1014,,,,21,13,,0.00,,,87<br />
2015-5-22,26,21,16,16,13,11,82,64,41,1015,1012,1009,,,,21,16,,0.00,,,131<br />
2015-5-23,22,21,20,19,17,15,88,79,73,1010,1009,1007,10,10,10,18,11,,0.00,4,,105<br />
2015-5-24,25,22,20,19,18,16,94,76,61,1010,1008,1007,10,9,4,18,10,,0.00,5,中雨,95<br />
